year,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2014,60nZcImufyMA1MKQY3dcC,"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,232720,4
2014,4jbmgIyjGoXjY01XxatOx,Dark Horse,Katy Perry,0.647,0.585,6,-6.123,1,0.0512,0.00314,0,0.165,0.353,131.934,215672,4
2014,4L2K7JKseFCBoHMZEAszW,Jealous,Labrinth,0.435,0.155,1,-8.948,1,0.046,0.873,0,0.107,0.0935,128.532,287693,3
2014,3W3KtDwAIg3mAruSpnfG3,Fancy,Iggy Azalea,0.912,0.716,10,-4.141,0,0.0697,0.0904,0,0.0491,0.377,94.981,199938,4
2014,3omXshBamrREltcf24gYD,First,Cold War Kids,0.468,0.692,2,-4.015,1,0.0295,0.0202,2.39E-06,0.523,0.561,78.009,200360,4
2014,5Nm9ERjJZ5oyfXZTECKmR,Stay With Me,Sam Smith,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39E-05,0.11,0.184,84.094,172724,4
2014,6RtPijgfPKROxEzTHNRiD,Rude,MAGIC!,0.774,0.756,1,-4.995,1,0.0389,0.0423,0,0.305,0.931,144.032,224840,4
2014,4VrWlk8IQxevMvERoX08i,Chandelier,Sia,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07E-05,0.0685,0.572,117.089,216120,5
2014,3U4isOIWM3VvDubwSI3y7,All of Me,John Legend,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,269560,4
2014,7GJClzimvMSghjcrKxuf1,Budapest,George Ezra,0.714,0.451,5,-8.268,1,0.0276,0.0883,0,0.108,0.406,127.787,200720,4
2014,5jE48hhRu8E6zBDPRSkEq,All About That Bass,Meghan Trainor,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87E-06,0.124,0.961,134.052,187920,4
2014,7yq4Qj7cqayVTp3FF9CWb,Riptide,Vance Joy,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,204280,4
2014,23khhseCLQqVMCIT1WMAn,Magic,Coldplay,0.738,0.483,6,-8.915,0,0.0403,0.0262,0.616,0.106,0.355,93.458,285014,4
2014,62ke5zFUJN6RvtXZgVH0F,Only Love Can Hurt Like This,Paloma Faith,0.566,0.885,8,-4.527,1,0.0815,0.0959,9.83E-05,0.334,0.307,90.989,232893,4
2014,5TvE3pk05pyFIGdSY9j4D,Say Something,A Great Big World,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,229400,3
2014,3G6hD9B2ZHOsgf4WfNu7X,Team,Lorde,0.69,0.578,6,-7.436,1,0.0929,0.167,0,0.305,0.416,99.961,193059,4
2014,6vECYJHxYmm3Ydt3fF01p,Stolen Dance,Milky Chance,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684,4
2014,3B7udSGy2PfgoCniMSb52,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,0.581,0.0549,10,-20.514,0,0.0397,0.559,0,0.0718,0.234,152.037,300840,4
2014,5O2P9iiztwhomNh8xkR9l,Night Changes,One Direction,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600,4
2014,1fo2ctLqj3zBhRQKOXpro,Style,Taylor Swift,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,231000,4
2014,3nB82yGjtbQFSU0JLAwLR,Not a Bad Thing,Justin Timberlake,0.308,0.563,0,-9.169,1,0.0719,0.527,4.58E-06,0.134,0.109,85.901,688453,4
2014,1almCHdsfikRPfVB9VrEd,Little Do You Know,Alex & Sierra,0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,185200,4
2014,13P5rwmk2EsoFRIz9UCeh,Cool Kids,Echosmith,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21E-06,0.12,0.786,130.027,237627,4
2014,1HNkqx9Ahdgi1Ixy2xkKk,Photograph,Ed Sheeran,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
2014,0dIOvducp7ujHTqj66cQ3,Amnesia,5 Seconds of Summer,0.594,0.497,2,-5.26,1,0.0303,0.0343,0,0.162,0.101,101.668,237248,4
2014,2dLLR6qlu5UJ5gk0dKz0h,Royals,Lorde,0.674,0.428,7,-9.504,1,0.122,0.121,0,0.132,0.337,84.878,190185,4
2014,7795WJLVKJoAyVoOtCWqX,I'm Not The Only One,Sam Smith,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04E-05,0.0766,0.493,82.001,239317,4
2014,6kwAbEjseqBob48jCus7S,Elastic Heart,Sia,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48E-05,0.146,0.499,130.075,257200,4
2014,5Hroj5K7vLpIG4FNCRIjb,Best Day Of My Life,American Authors,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240,4
2014,2Pavqy0vPxGilGe0IIetd,Geronimo,Sheppard,0.707,0.771,7,-6.275,1,0.0783,0.434,0.0013,0.115,0.437,142.016,218228,4
2014,1j8z4TTjJ1YOdoFEDwJTQ,Ain't It Fun,Paramore,0.61,0.893,9,-3.681,1,0.0921,0.154,4.41E-05,0.021,0.673,104.031,296520,4
