artists,year,count
*NSYNC,2001,2
*NSYNC,2002,1
112,2001,2
2 Chainz,2017,1
21 Savage,2019,1
2Pac,2001,1
2Pac,2005,1
3 Doors Down,2003,1
3 Doors Down,2004,1
3 Doors Down,2005,1
3 Doors Down,2008,1
3LW,2001,1
3OH!3,2009,1
3OH!3,2010,2
5 Seconds of Summer,2014,2
5 Seconds of Summer,2018,1
5 Seconds of Summer,2019,1
50 Cent,2003,3
50 Cent,2005,1
6ix9ine,2018,1
A Great Big World,2014,1
A.R. Rahman,2009,1
A1,2002,1
AJ Tracey,2019,1
AJR,2017,1
AWOLNATION,2012,1
AWOLNATION,2013,1
Aaliyah,2002,2
Aaliyah,2003,1
Adam Lambert,2010,1
Adam Lambert,2015,1
Adele,2008,1
Adele,2011,3
Adele,2012,2
Adele,2015,4
Adele,2016,3
Aerosmith,2001,1
Agnes,2009,1
Akon,2007,1
Alan Walker,2016,1
Alanis Morissette,2002,1
Alec Benjamin,2019,1
Alessia Cara,2015,1
Alessia Cara,2016,2
Alessia Cara,2017,2
Alesso,2014,1
Alesso,2015,1
Alex & Sierra,2014,1
Alex Clare,2012,1
Alexandra Burke,2008,1
Alexandra Burke,2009,1
Alicia Keys,2001,1
Alicia Keys,2002,1
Alicia Keys,2004,3
Alicia Keys,2005,1
Alicia Keys,2007,1
Alicia Keys,2008,2
Alicia Keys,2010,2
Alina Devecerski,2012,1
All Time Low,2007,1
Aloe Blacc,2010,1
Aloe Blacc,2014,1
Alok,2016,1
Alphabeat,2008,1
AlunaGeorge,2016,1
Amanda Perez,2003,1
American Authors,2014,1
Amerie,2005,1
Aminé,2017,1
Amy Winehouse,2006,3
Amy Winehouse,2007,3
Andy Grammer,2015,1
Andy Grammer,2016,1
Anitta,2018,1
Anne-Marie,2016,1
Anne-Marie,2017,1
Anne-Marie,2018,1
Ansiktet,2012,1
Anuel AA,2019,1
Arctic Monkeys,2005,1
Arctic Monkeys,2006,1
Arctic Monkeys,2007,2
Arctic Monkeys,2013,2
Ariana Grande,2013,1
Ariana Grande,2014,2
Ariana Grande,2015,2
Ariana Grande,2016,2
Ariana Grande,2018,2
Ariana Grande,2019,4
Armand Van Helden,2006,1
Armin van Buuren,2013,1
Asaf Avidan & the Mojos,2012,1
Ashanti,2002,3
Ashanti,2003,2
Ashanti,2004,1
Asher Roth,2009,1
Ashlee Simpson,2004,1
Ashley O,2019,1
Astrid S,2016,1
Atomic Kitten,2001,2
Atomic Kitten,2002,1
Audioslave,2003,1
Ava Max,2019,2
Avant,2004,1
Avicii,2012,2
Avicii,2013,2
Avicii,2014,1
Avicii,2015,2
Avicii,2017,2
Avicii,2019,1
Avril Lavigne,2002,2
Avril Lavigne,2003,1
Avril Lavigne,2004,2
Avril Lavigne,2007,3
Avril Lavigne,2011,1
Avril Lavigne,2013,1
B.o.B,2010,3
B.o.B,2012,1
BLACKPINK,2019,1
BTS,2019,1
Baauer,2013,1
Baby Bash,2003,1
Baby Bash,2004,1
Baby Bash,2005,1
Baby Boy Da Prince,2007,1
Backstreet Boys,2005,1
Bad Bunny,2019,1
Bad Meets Evil,2011,1
Basement Jaxx,2001,1
Basement Jaxx,2004,1
Bastille,2013,2
Bazzi,2018,1
Bebe Rexha,2018,1
Becky G,2014,1
Becky G,2018,1
Beyoncé,2003,1
Beyoncé,2004,1
Beyoncé,2006,3
Beyoncé,2007,1
Beyoncé,2008,1
Beyoncé,2009,3
